"Statistic Label","Census Year","County","Age","Sex","UNIT","VALUE"
"Population","2011","Carlow County","Age 0","Males","Number","469"
"Population","2011","Carlow County","Age 0","Females","Number","429"
"Population","2011","Carlow County","Age 0","Both Sexes","Number","898"
"Population","2011","Carlow County","Age 1","Males","Number","414"
"Population","2011","Carlow County","Age 1","Females","Number","430"
"Population","2011","Carlow County","Age 1","Both Sexes","Number","844"
"Population","2011","Carlow County","Age 2","Males","Number","455"
"Population","2011","Carlow County","Age 2","Females","Number","424"
"Population","2011","Carlow County","Age 2","Both Sexes","Number","879"
"Population","2011","Carlow County","Age 3","Males","Number","476"
"Population","2011","Carlow County","Age 3","Females","Number","440"
"Population","2011","Carlow County","Age 3","Both Sexes","Number","916"
"Population","2011","Carlow County","Age 4","Males","Number","416"
"Population","2011","Carlow County","Age 4","Females","Number","392"
"Population","2011","Carlow County","Age 4","Both Sexes","Number","808"
"Population","2011","Carlow County","Age 5","Males","Number","400"
"Population","2011","Carlow County","Age 5","Females","Number","411"
"Population","2011","Carlow County","Age 5","Both Sexes","Number","811"
"Population","2011","Carlow County","Age 6","Males","Number","442"
"Population","2011","Carlow County","Age 6","Females","Number","407"
"Population","2011","Carlow County","Age 6","Both Sexes","Number","849"
"Population","2011","Carlow County","Age 7","Males","Number","386"
"Population","2011","Carlow County","Age 7","Females","Number","457"
"Population","2011","Carlow County","Age 7","Both Sexes","Number","843"
"Population","2011","Carlow County","Age 8","Males","Number","418"
"Population","2011","Carlow County","Age 8","Females","Number","408"
"Population","2011","Carlow County","Age 8","Both Sexes","Number","826"
"Population","2011","Carlow County","Age 9","Males","Number","412"
"Population","2011","Carlow County","Age 9","Females","Number","360"
"Population","2011","Carlow County","Age 9","Both Sexes","Number","772"
"Population","2011","Carlow County","Age 10","Males","Number","401"
"Population","2011","Carlow County","Age 10","Females","Number","362"
"Population","2011","Carlow County","Age 10","Both Sexes","Number","763"
"Population","2011","Carlow County","Age 11","Males","Number","415"
"Population","2011","Carlow County","Age 11","Females","Number","360"
"Population","2011","Carlow County","Age 11","Both Sexes","Number","775"
"Population","2011","Carlow County","Age 12","Males","Number","397"
"Population","2011","Carlow County","Age 12","Females","Number","373"
"Population","2011","Carlow County","Age 12","Both Sexes","Number","770"
"Population","2011","Carlow County","Age 13","Males","Number","360"
"Population","2011","Carlow County","Age 13","Females","Number","351"
"Population","2011","Carlow County","Age 13","Both Sexes","Number","711"
"Population","2011","Carlow County","Age 14","Males","Number","361"
"Population","2011","Carlow County","Age 14","Females","Number","323"
"Population","2011","Carlow County","Age 14","Both Sexes","Number","684"
"Population","2011","Carlow County","Age 15","Males","Number","341"
"Population","2011","Carlow County","Age 15","Females","Number","328"
"Population","2011","Carlow County","Age 15","Both Sexes","Number","669"
"Population","2011","Carlow County","Age 16","Males","Number","345"
"Population","2011","Carlow County","Age 16","Females","Number","321"
"Population","2011","Carlow County","Age 16","Both Sexes","Number","666"
"Population","2011","Carlow County","Age 17","Males","Number","336"
"Population","2011","Carlow County","Age 17","Females","Number","319"
"Population","2011","Carlow County","Age 17","Both Sexes","Number","655"
"Population","2011","Carlow County","Age 18","Males","Number","378"
"Population","2011","Carlow County","Age 18","Females","Number","354"
"Population","2011","Carlow County","Age 18","Both Sexes","Number","732"
"Population","2011","Carlow County","Age 19","Males","Number","351"
"Population","2011","Carlow County","Age 19","Females","Number","317"
"Population","2011","Carlow County","Age 19","Both Sexes","Number","668"
